id,name,images,added_date,release_date,url,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
5S9Zs5g9lTWnLIboN1pdlU,Fingers Crossed,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737904dbff5b1dac889cdff376', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027904dbff5b1dac889cdff376', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517904dbff5b1dac889cdff376', 'width': 64}]",2022-03-11T11:11:30Z,2022-01-05,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU,79AyR6ATpj2LTPxfb6FX50,1,0.603,0.473,5,-7.23,1,0.0511,0.616,0.0,0.31,0.446,109.494,audio_features,spotify:track:5S9Zs5g9lTWnLIboN1pdlU,https://api.spotify.com/v1/tracks/5S9Zs5g9lTWnLIboN1pdlU,https://api.spotify.com/v1/audio-analysis/5S9Zs5g9lTWnLIboN1pdlU,175345,4
4SeZpWSgq1c8a0MY3iVy1f,Flashbacks,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734d484e0631f3ea2d5b638ba1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024d484e0631f3ea2d5b638ba1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514d484e0631f3ea2d5b638ba1', 'width': 64}]",2022-03-14T04:08:17Z,2021-01-08,https://open.spotify.com/track/4SeZpWSgq1c8a0MY3iVy1f,5aHlyw2WWqZW0HLICBuv7U,64,0.55,0.448,11,-7.382,1,0.0314,0.879,0.0,0.0734,0.49,99.713,audio_features,spotify:track:4SeZpWSgq1c8a0MY3iVy1f,https://api.spotify.com/v1/tracks/4SeZpWSgq1c8a0MY3iVy1f,https://api.spotify.com/v1/audio-analysis/4SeZpWSgq1c8a0MY3iVy1f,183000,4
6ZahaGPhyiXTi1pLEtGM6e,Sweet Little Lies,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d2bb38e4abc36b70fd1ed197', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d2bb38e4abc36b70fd1ed197', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d2bb38e4abc36b70fd1ed197', 'width': 64}]",2022-03-14T04:27:16Z,2019-02-22,https://open.spotify.com/track/6ZahaGPhyiXTi1pLEtGM6e,5vBrKGOjN10BMwB0cJADj4,57,0.648,0.727,0,-3.791,1,0.142,0.229,0.0,0.17,0.689,160.024,audio_features,spotify:track:6ZahaGPhyiXTi1pLEtGM6e,https://api.spotify.com/v1/tracks/6ZahaGPhyiXTi1pLEtGM6e,https://api.spotify.com/v1/audio-analysis/6ZahaGPhyiXTi1pLEtGM6e,175067,4
6aDsgHPZsMztSbZernzlF8,Someday,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732e2889865b7b05955c1d3bcf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022e2889865b7b05955c1d3bcf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512e2889865b7b05955c1d3bcf', 'width': 64}]",2022-03-16T04:59:25Z,2021-08-27,https://open.spotify.com/track/6aDsgHPZsMztSbZernzlF8,5Pwc4xIPtQLFEnJriah9YJ,73,0.576,0.679,0,-7.237,1,0.034,0.0311,0.0,0.323,0.213,121.005,audio_features,spotify:track:6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/tracks/6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/audio-analysis/6aDsgHPZsMztSbZernzlF8,187889,4
4LRPiXqCikLlN15c3yImP7,As It Was,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b46f74097655d7f353caab14', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b46f74097655d7f353caab14', 'width': 64}]",2022-04-02T04:04:30Z,2022-03-31,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,6KImCVD70vtIoJWnq6nGn3,67,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4
0U1W2LZVUX7qTm7dDpqxh6,When You're Gone,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dad0775943c1a826bfed3117', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02dad0775943c1a826bfed3117', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851dad0775943c1a826bfed3117', 'width': 64}]",2022-04-02T04:07:48Z,2022-03-31,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6,7n2wHs1TKAczGzO7Dd2rGr,78,0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148,audio_features,spotify:track:0U1W2LZVUX7qTm7dDpqxh6,https://api.spotify.com/v1/tracks/0U1W2LZVUX7qTm7dDpqxh6,https://api.spotify.com/v1/audio-analysis/0U1W2LZVUX7qTm7dDpqxh6,172267,4
39ZVkOVxjG8ypNdUSVNkxU,Mr. Forgettable,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bd017336fc1c0200e956edd2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bd017336fc1c0200e956edd2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bd017336fc1c0200e956edd2', 'width': 64}]",2022-04-05T01:11:04Z,2022-03-04,https://open.spotify.com/track/39ZVkOVxjG8ypNdUSVNkxU,33NVpKoXjItPwUJTMZIOiY,69,0.56,0.41,8,-9.227,0,0.0276,0.544,0.0,0.151,0.28,144.727,audio_features,spotify:track:39ZVkOVxjG8ypNdUSVNkxU,https://api.spotify.com/v1/tracks/39ZVkOVxjG8ypNdUSVNkxU,https://api.spotify.com/v1/audio-analysis/39ZVkOVxjG8ypNdUSVNkxU,187293,4
4Z5LVvODOf8KDgxa0DCwG1,i don't wanna know - acoustic,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737daa864db10e1f233859749d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027daa864db10e1f233859749d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517daa864db10e1f233859749d', 'width': 64}]",2022-04-05T01:33:03Z,2020-05-29,https://open.spotify.com/track/4Z5LVvODOf8KDgxa0DCwG1,670UISOh9XV1zlq5z5IfoY,0,0.641,0.28,10,-8.737,1,0.0312,0.815,0.0,0.0866,0.497,120.005,audio_features,spotify:track:4Z5LVvODOf8KDgxa0DCwG1,https://api.spotify.com/v1/tracks/4Z5LVvODOf8KDgxa0DCwG1,https://api.spotify.com/v1/audio-analysis/4Z5LVvODOf8KDgxa0DCwG1,186500,4
5e73JXit90gFD8EU1jqC6n,Take My Hand,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273610e7e1bf92023fb2781ecb7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02610e7e1bf92023fb2781ecb7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851610e7e1bf92023fb2781ecb7', 'width': 64}]",2022-05-02T05:49:38Z,2022-04-01,https://open.spotify.com/track/5e73JXit90gFD8EU1jqC6n,5Rl15oVamLq7FbSb0NNBNy,0,0.554,0.485,0,-8.691,1,0.036,0.266,0.0,0.12,0.0952,126.02,audio_features,spotify:track:5e73JXit90gFD8EU1jqC6n,https://api.spotify.com/v1/tracks/5e73JXit90gFD8EU1jqC6n,https://api.spotify.com/v1/audio-analysis/5e73JXit90gFD8EU1jqC6n,239865,4
59CfNbkERJ3NoTXDvoURjj,Boyfriend,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730397f50cb9dc5393db5d08bc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020397f50cb9dc5393db5d08bc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510397f50cb9dc5393db5d08bc', 'width': 64}]",2022-05-02T05:53:28Z,2022-02-11,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj,2W8yFh0Ga6Yf3jiayVxwkE,82,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,audio_features,spotify:track:59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/audio-analysis/59CfNbkERJ3NoTXDvoURjj,153000,3
