external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ'},"{'href': None, 'total': 16439614}","['piano rock', 'pop']",https://api.spotify.com/v1/artists/5Pwc4xIPtQLFEnJriah9YJ,5Pwc4xIPtQLFEnJriah9YJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb57138b98e7ddd5a86ee97a9b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517457138b98e7ddd5a86ee97a9b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17857138b98e7ddd5a86ee97a9b', 'width': 160}]",OneRepublic,80,artist,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
{'spotify': 'https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv'},"{'href': None, 'total': 6036991}",['pop'],https://api.spotify.com/v1/artists/5JZ7CnR6gTvEMKX4g70Amv,5JZ7CnR6gTvEMKX4g70Amv,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9c0eb37411c26ff54c29dcb6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749c0eb37411c26ff54c29dcb6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789c0eb37411c26ff54c29dcb6', 'width': 160}]",Lauv,74,artist,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
{'spotify': 'https://open.spotify.com/artist/33NVpKoXjItPwUJTMZIOiY'},"{'href': None, 'total': 1508112}",['gen z singer-songwriter'],https://api.spotify.com/v1/artists/33NVpKoXjItPwUJTMZIOiY,33NVpKoXjItPwUJTMZIOiY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb12fd1bd22516e35ef8c2e591', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517412fd1bd22516e35ef8c2e591', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17812fd1bd22516e35ef8c2e591', 'width': 160}]",David Kushner,75,artist,spotify:artist:33NVpKoXjItPwUJTMZIOiY
{'spotify': 'https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq'},"{'href': None, 'total': 9073742}",['viral pop'],https://api.spotify.com/v1/artists/3MZsBdqDrRTJihTHQrO6Dq,3MZsBdqDrRTJihTHQrO6Dq,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4111c95b5f430c3265c7304b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744111c95b5f430c3265c7304b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784111c95b5f430c3265c7304b', 'width': 160}]",Joji,78,artist,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq
{'spotify': 'https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov'},"{'href': None, 'total': 4662189}","['alt z', 'pop', 'pov: indie']",https://api.spotify.com/v1/artists/5IH6FPUwQTxPSXurCrcIov,5IH6FPUwQTxPSXurCrcIov,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc7e8521887c99b10c8bbfbac', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c7e8521887c99b10c8bbfbac', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c7e8521887c99b10c8bbfbac', 'width': 160}]",Alec Benjamin,72,artist,spotify:artist:5IH6FPUwQTxPSXurCrcIov
{'spotify': 'https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY'},"{'href': None, 'total': 52444577}","['british soul', 'pop', 'pop soul', 'uk pop']",https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517468f6e5892075d7f22615bd17', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17868f6e5892075d7f22615bd17', 'width': 160}]",Adele,83,artist,spotify:artist:4dpARuHxo51G3z768sgnrY
{'spotify': 'https://open.spotify.com/artist/3QSQFmccmX81fWCUSPTS7y'},"{'href': None, 'total': 2817172}","['australian pop', 'pop']",https://api.spotify.com/v1/artists/3QSQFmccmX81fWCUSPTS7y,3QSQFmccmX81fWCUSPTS7y,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4fc14e184f9e05ba0676ddee', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744fc14e184f9e05ba0676ddee', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784fc14e184f9e05ba0676ddee', 'width': 160}]",Dean Lewis,73,artist,spotify:artist:3QSQFmccmX81fWCUSPTS7y
{'spotify': 'https://open.spotify.com/artist/2W8yFh0Ga6Yf3jiayVxwkE'},"{'href': None, 'total': 4500723}",['pop'],https://api.spotify.com/v1/artists/2W8yFh0Ga6Yf3jiayVxwkE,2W8yFh0Ga6Yf3jiayVxwkE,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7ffd2d64fa0dcb3bda3cd423', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747ffd2d64fa0dcb3bda3cd423', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787ffd2d64fa0dcb3bda3cd423', 'width': 160}]",Dove Cameron,69,artist,spotify:artist:2W8yFh0Ga6Yf3jiayVxwkE
{'spotify': 'https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy'},"{'href': None, 'total': 9741895}","['boy band', 'pop']",https://api.spotify.com/v1/artists/5Rl15oVamLq7FbSb0NNBNy,5Rl15oVamLq7FbSb0NNBNy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5048d9616b459ef90f04b6d8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745048d9616b459ef90f04b6d8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785048d9616b459ef90f04b6d8', 'width': 160}]",5 Seconds of Summer,74,artist,spotify:artist:5Rl15oVamLq7FbSb0NNBNy
{'spotify': 'https://open.spotify.com/artist/79AyR6ATpj2LTPxfb6FX50'},"{'href': None, 'total': 1212919}","['alt z', 'gen z singer-songwriter']",https://api.spotify.com/v1/artists/79AyR6ATpj2LTPxfb6FX50,79AyR6ATpj2LTPxfb6FX50,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcd81e821e41ab2035e5739a7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cd81e821e41ab2035e5739a7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cd81e821e41ab2035e5739a7', 'width': 160}]",Lauren Spencer Smith,68,artist,spotify:artist:79AyR6ATpj2LTPxfb6FX50
